Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
241	1288733	1360024	1327390	1288678	1335988	1387651	1348480	1218249	1342541	1280451	1138955	1070197	1178399	1239784	1278647	1173757	1196918	1274702	1264987	1256116	1365279	1430348	1202832	1154604	1127501	1183618	1209820	1166050	1118247	1205663	1154151	1122962	1192306	1269191	1116692	1033537	1083290	1147350	1176963	1134569	1186449	1235878	1168946	1085507	1146773	1140503	1064722	970750	1073032	1165058	1203596	1131944	1173594	1184467	1170710	1145644	1107666	1160067	1063397	997223	1158965	1256624	1282456	1189930	1210018	1236939	1191479	1170121	1170574	1205972	1075531	1026556	1224602	1351778	1422762	1316965	1361474	1352088	1288716	1222851	1219622	1252183	1164808	1107294	1228378	1333718	1358845	1277104	1415943	1332862	1271899	1254776	1264087	1348382	1205840	1187527	
261	1277050	1347269	1328126	1288961	1337329	1372321	1348863	1220082	1353979	1283776	1144424	1062741	1176028	1245288	1285350	1169598	1196060	1265041	1265279	1252424	1351416	1443571	1210188	1151618	1128026	1182886	1201255	1148612	1128421	1201311	1145001	1135863	1185003	1271605	1119532	1040500	1080947	1152382	1168599	1142422	1178998	1253111	1164167	1081603	1145507	1143663	1073816	963925.4	1074846	1156638	1195246	1132496	1170246	1181826	1151358	1165516	1116968	1160695	1063659	1005755	1148667	1266306	1290457	1197539	1204968	1260445	1204786	1158874	1171027	1204735	1074364	1023516	1217123	1350672	1425932	1332721	1362209	1355054	1298854	1227623	1204833	1253052	1162666	1097587	1224222	1327615	1364218	1280932	1411258	1329431	1270928	1260343	1258829	1350988	1208670	1183571	
281	1279579	1349836	1328450	1297683	1335224	1382138	1347920	1222071	1345986	1275549	1148226	1064983	1183593	1249806	1281941	1171159	1198685	1268407	1269198	1254799	1359792	1436366	1197663	1154904	1128774	1182859	1201792	1170719	1124513	1199052	1140215	1132051	1185156	1264530	1119744	1033796	1079865	1145436	1182165	1142241	1178818	1246675	1158172	1088343	1150579	1136006	1070562	960466.7	1067898	1165470	1201719	1137308	1167269	1182443	1167619	1169316	1111814	1156622	1062902	997806.6	1162234	1265447	1281238	1220515	1203910	1263398	1194702	1163717	1182897	1206698	1062853	1023984	1221194	1336801	1416721	1379758	1351753	1349897	1286939	1227163	1209157	1251347	1171769	1103816	1229104	1332431	1356527	1274538	1410498	1321579	1253457	1252473	1261978	1346012	1197075	1195318	
301	1279768	1338179	1321277	1289785	1324796	1376555	1341447	1218051	1349943	1273355	1134549	1060113	1181757	1240711	1288514	1177219	1200934	1270328	1264068	1256259	1348995	1433521	1199740	1150804	1123830	1175938	1196606	1152735	1126284	1194795	1141275	1122329	1192097	1262864	1112054	1036709	1082480	1148334	1180826	1149483	1165299	1253772	1163635	1093705	1140999	1136502	1067596	967802.9	1065887	1158924	1196915	1135196	1160320	1176859	1161518	1170292	1115277	1148346	1066154	993337.9	1156558	1262012	1283129	1222238	1197470	1255084	1190880	1157805	1170189	1200502	1072732	1032110	1212961	1336242	1421337	1374900	1347402	1355475	1278525	1224161	1214788	1250264	1162551	1103744	1213075	1330710	1355350	1274624	1405990	1329420	1257155	1249300	1265575	1350829	1200874	1185086	
321	1272929	1338230	1322580	1288421	1332574	1380675	1346740	1210308	1355483	1271258	1132536	1063778	1178907	1254024	1287478	1176625	1193998	1267606	1264639	1251166	1350986	1427520	1193710	1160241	1125288	1188593	1204468	1145828	1123446	1194059	1129732	1125860	1188078	1265847	1120657	1032379	1079671	1158125	1184359	1131664	1165157	1277585	1157036	1091883	1130981	1135120	1067495	966276.6	1072040	1154206	1202945	1127222	1162076	1181094	1158558	1160616	1116467	1150751	1063886	992633.9	1147078	1267159	1288916	1230622	1201093	1263164	1186850	1153190	1168477	1204902	1073878	1034346	1216002	1344223	1417799	1368143	1343193	1350403	1273264	1224883	1211690	1248923	1172052	1103579	1217048	1328917	1356204	1264287	1395416	1327966	1248003	1246875	1257290	1351501	1203459	1187537	
341	1275781	1338496	1325549	1296328	1334815	1392598	1340872	1205490	1348806	1272976	1128491	1078199	1173083	1246607	1283269	1170446	1214102	1267110	1263651	1253544	1349150	1428309	1198437	1164099	1126351	1174041	1203624	1142873	1153488	1185998	1133896	1145538	1174120	1265830	1109569	1042106	1073346	1154797	1189434	1137972	1171999	1292975	1159576	1072184	1134775	1132488	1054997	970017	1066476	1157622	1197137	1136222	1166885	1188057	1163152	1174844	1115135	1149633	1048150	990645.3	1157026	1261971	1282200	1219113	1197084	1267493	1190080	1144618	1166507	1197974	1071055	1024660	1216475	1335224	1417211	1371571	1340590	1373943	1283791	1223607	1205974	1253840	1159699	1103819	1220309	1337100	1350152	1267772	1388635	1328641	1249541	1256801	1259629	1347375	1203683	1178399	
361	1269283	1337267	1316766	1291085	1334330	1403115	1341707	1213713	1352703	1273009	1130544	1062473	1171517	1244310	1281569	1171495	1223693	1269782	1276117	1256236	1351646	1426354	1198207	1162901	1112318	1183099	1193215	1144495	1173986	1190602	1137155	1156322	1190718	1255587	1114707	1029364	1064941	1152527	1191723	1141950	1172540	1295979	1154221	1099155	1120644	1120335	1053052	972921.6	1063460	1157001	1195901	1128170	1157156	1199587	1155540	1171765	1106682	1154819	1061159	997741	1155837	1254011	1281202	1225469	1199864	1260025	1186096	1147544	1166390	1204324	1073924	1032339	1207680	1344947	1410510	1366482	1344303	1387838	1263211	1232171	1205922	1255318	1161233	1100729	1202708	1330256	1344226	1273470	1393975	1327207	1245822	1265305	1260628	1352563	1195060	1188807	
381	1272078	1345865	1320896	1285243	1336699	1418610	1337664	1218785	1344052	1272679	1134545	1063472	1181246	1241136	1275998	1181759	1247603	1270274	1283317	1252512	1352846	1423457	1201824	1161712	1116308	1181691	1188970	1135122	1168877	1193354	1134581	1159438	1186266	1257906	1110999	1029183	1073571	1153208	1195522	1148131	1167012	1293897	1149314	1098043	1117933	1126484	1062947	969940.3	1061276	1155581	1194983	1121545	1161909	1234444	1153936	1168732	1114775	1155425	1055550	998010.7	1157788	1258303	1275345	1223819	1206429	1260727	1192904	1150905	1172542	1205469	1074719	1038350	1204767	1341394	1415636	1365592	1343371	1401363	1265219	1222336	1208521	1253353	1158182	1096942	1200101	1331949	1350378	1268333	1382902	1326279	1247418	1274254	1257171	1350875	1202042	1176484	
401	1272057	1332710	1312057	1294175	1336481	1434796	1336877	1210419	1352733	1272953	1134736	1069977	1176166	1241084	1277732	1208270	1243759	1272040	1296338	1253459	1345980	1418360	1203505	1156133	1112542	1177780	1195922	1145555	1171044	1192172	1131825	1157898	1179371	1259332	1107148	1041314	1073737	1158730	1193051	1162759	1170752	1293993	1151887	1103165	1119940	1130919	1068224	967067.7	1064059	1168469	1181208	1123403	1140306	1225904	1163673	1170686	1112205	1146310	1057612	999151	1160487	1260856	1272391	1218373	1194184	1256699	1193121	1134543	1167787	1202638	1070518	1040754	1194237	1344886	1407720	1364754	1334072	1409203	1267995	1223841	1204402	1241306	1161148	1106219	1214168	1331388	1348001	1271779	1388147	1332116	1255002	1278952	1258823	1347211	1205218	1179313	
422	1271003	1335323	1313527	1292901	1335917	1436706	1340644	1220841	1347401	1270576	1119828	1068335	1177142	1237298	1271555	1217680	1244445	1274954	1305868	1249332	1345879	1417569	1195558	1162327	1109104	1183227	1189247	1146012	1168365	1188798	1127560	1157598	1183184	1255950	1115564	1032218	1074714	1156633	1187491	1184189	1166082	1293193	1158975	1104040	1115400	1130944	1059310	964103.9	1061275	1154755	1176730	1132858	1156180	1237857	1159505	1161190	1105622	1149480	1051912	1000739	1152281	1249249	1270796	1214865	1195595	1251776	1187156	1145324	1169641	1195103	1074341	1027190	1196389	1335417	1413985	1363307	1340299	1403704	1251039	1228008	1197651	1244547	1165020	1101851	1208668	1335706	1349157	1261950	1384175	1337998	1248190	1284609	1257785	1350576	1195873	1185541	
