<HEADER>																																																																																																
Date	2022-11-23																																																																																															
Time	14:12:11																																																																																															
Instrument	Panoptic																																																																																															
ProtocolName	1 Tip_1 Add_20 uL_2 min_New Green																																																																																															
AssayPlateBarcode	HEK_FLUO-8_2																																																																																															
AddPlateBarcode	ACh CHK																																																																																															
Indicator	New Green	Excitation	488	Emission	536(40)	Exposure	50	Gain	100																																																																																							
Binning	4 x 4																																																																																															
NumRows	8																																																																																															
NumCols	12																																																																																															
Operator	b	Greenway	Bryan																																																																																													
Project	Test Project																																																																																															
</HEADER>																																																																																																
<INDICATOR_DATA	Blue	>																																																																																														
Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
1.128	111811.1	142749.9	149343.1	144599.6	139019.7	126303.4	116163	112119	116804.1	116748	118381.6	116504.6	101027	111518.9	135013.9	126790.7	119942.6	109750.9	111787.3	110009.1	111470.7	114207	115388.6	117665.1	96501.43	111365	115304.7	110924	104297.7	104248.1	105983.1	104716.3	109981.7	112556.6	117045.6	117836.1	98490	102105	106189.7	103085.1	96616.86	103130.1	106186.4	108193	120118.6	123513.3	127623.9	126108.1	89301.86	101034.3	100459.9	100629.6	99802.71	104616.6	107066.1	108451.4	111016.4	115672.1	116277.7	117493.7	88360.71	98757.29	99612.71	109123.6	101533.9	104080.3	105539.3	106855.7	114902.1	118263	119055.7	118484.9	84457.71	99407.29	100000.6	95830.71	99314.43	105100.6	108651.6	111544.9	122886.9	126792.7	124461.3	124732	94507.71	99681.57	99196.86	101471.1	104344.9	106160.4	110044.4	111308.3	116246.3	117083	112616.1	112578.3
1.288	110295	141493.6	148877	143639.9	139096.4	125756.3	115725.3	111140.4	115029.1	115019.3	115954.7	119343.6	99918.43	110320.3	134436	127820.7	117306.3	111903.7	111545.9	106420.9	112849.6	114770.1	115648.6	117011.3	96832	110813.1	113996.1	110924.7	105075.9	104527.4	106907.9	105324	110570.7	112312.4	117316.4	116984.1	98301	104231.9	108393	101586.6	97902.29	102328.6	107393.1	108985.6	121271.6	123204.4	127633.9	127392.9	88325.86	101482.6	100864.4	98238.86	100107.6	103710.3	106992.1	107587	111316.3	117007.1	116822.3	117483.4	87960.71	99402.71	100443.1	106800.1	102569.1	104594.1	107541.1	108260.3	113022.9	117132.3	118308.6	117774.1	84441	99648.57	100908.6	97241.14	101399.9	102808.9	108487.6	110138	124378.6	128066.7	123909.1	123946.6	94020.71	98984.71	98990	99855	104039.1	104391.9	110097.1	112157.4	114494.4	117964	113925.6	114799.4
1.431	111340.1	142048.4	148419.1	143077.4	138705.1	126339.4	116554.3	111488.1	114707.3	113913.9	115512	117853.7	100849.1	112797.1	136359	126664.9	118820.1	111349.9	110933.9	109549.7	110574.3	115594.6	116392	117520.7	99107	110995.3	116501	109925.6	103140.6	103502.4	107158.7	106493	109874.1	112204.1	117133.6	117249.3	98335	103294.1	108811	103537	97256.29	103019.7	105075.7	108599.7	120646	121592.7	126473.9	126920	90648	100274.4	100703	99155.86	97780.57	103794.4	108573.3	109138.4	109814.7	115612.4	114986.4	117883.7	87726.57	97567.57	99938.86	107025.1	102894.7	103243.6	106896	108908	113938.9	117546.1	118327.6	117820.6	84478.57	98941.71	100852.3	95135.86	102923.1	102990.9	109394.6	109719	124513.6	126352.7	124190.7	124836.1	94803.57	98384	100308.7	100390.9	104119.3	108099.6	108219.3	112775.9	114266.9	118358.9	114212.4	111194.9
1.555	110765.9	143035.1	148472.6	143599.7	138963.9	124122.6	115474.9	114245	116289	114949	118118.1	118683.1	101198.9	112559	135807.9	127857.1	117624	111255.6	111557.9	108829.3	113496	112954.7	116817.9	118006.1	97801.43	111670.6	115470	109342	104133.9	104802.6	107926.6	105687.9	109887.7	111813.9	115907.6	119043.9	98335.57	103181.3	107823.1	102076	97038.71	103547.9	105288.7	108497.7	120503.1	121292.3	126583.9	126893.9	90862.14	101718.7	101149	100241.7	99038.86	104211	109405.4	106498.3	111575.9	116681.1	116713	116881.4	87033	97387.29	98456	107193	101231.3	103792	106243	107202.3	113610	117832.3	118239.4	118458.3	84910.43	97977.71	100294.1	96709.29	101155.9	103099	108649	110379.9	123064.3	127980.6	125292.1	123430.9	94625	98277.57	99549.43	100672.3	103682.4	104739.3	108074	112417	115938.1	116538.3	114400.1	112893.7
1.702	110751.4	144232.6	149753.7	145233.7	138311.6	126386.3	114877.3	111239.1	115847.4	114570.3	115533.7	118593.9	101452.4	112722.3	135239.3	127219.3	118502.4	110948.4	110821.1	109927.6	113580	114583.1	116395.6	117718.9	96805	110189.7	116195.6	110723.4	105980.1	104246.7	105752.3	105001.4	111872.7	111931.4	117270.3	118920.1	97300.86	102583.1	108857.1	102974.9	96879.71	103405.7	106461.3	108253	121674	120613.4	126879.7	126163	88397.71	100791	100627.6	97046.29	99581.29	103174.9	106958.3	108720	112372.9	115518	115904.9	115623.1	87341	98155.43	100625.3	108441	99962.43	103453.4	105448.4	107885.4	114499.9	117545.6	119222	119166.9	84998.57	98846	100987.9	95982.14	101468.9	103721.3	108550.7	110396.9	124727.3	128066.3	123475.9	125148	94915.57	98269.14	98866.71	99847.43	102843.6	105101	107947.4	113129.4	112621.1	117512.4	113796.9	111845.1
1.827	110892	141586.6	151200	142664	139439.4	126933.6	115549.4	112413.3	115900	114587	116562.7	118343.4	99625.14	111640.9	135182	126865.6	118515	111375.7	109821.7	110184.9	111123.7	115210.6	115612.9	118969.3	97958.57	111824.4	114021	110730	104080.6	102152.9	107483	106613.1	109893.6	113435.1	118223.7	117439.6	97699.14	105428.3	109728.9	101546.4	96922.29	100447.9	105962.6	108586.9	120290.7	121469.3	126345.4	127669.3	89769	100181.9	101433.1	98690.86	100457.7	102757.6	106244.4	106717	112428.7	115114.3	116187.6	116611.7	88166.86	98500.14	100092	108203.4	99800.14	102468	105422.3	108501.1	113731	117672.9	117798.4	116559.1	85393.57	98830.29	102174	96007	102573.9	104249.1	109238.4	111322.7	126220	127145	123562.1	123270.4	94950.57	98880.29	99076.57	99774.29	105256.3	105998	109199	111824	113463.1	117733.4	114715.3	113358.4
1.981	113054	141912.6	150296.4	143195.1	139592.7	125585.4	114317.3	111259.7	116668.1	117147.4	116216	117928.4	101717.6	112416.1	135817.4	127883.7	117836	110302.9	112187.4	108429	110936.6	113769.9	117723.6	117020	97799.29	109829.3	114382.4	108733.6	103567.3	105558.6	107035.6	106314.9	110004.4	113595.4	116887.7	115920.6	97731.57	103162.7	109049.6	101980.6	98678.14	101643.9	106451	110197.1	122048.7	121712.4	126219.9	128537.9	89557.29	99752.29	100196.4	99149.43	97979.14	104719.6	106514.7	106918.3	111590.9	114488.6	116310.7	116684.1	87746.29	98302.43	99339.14	108460.9	100040.9	103278.7	104967.4	106977	113685.9	116710.4	119011.7	117911.1	84541.29	97971.14	100141.7	97517.14	100173.6	104721.1	108359.7	111512.4	123848.6	125485.1	124603.3	125233.1	94007.71	99248.57	98341.86	102399.4	105407.1	104748.3	110614	111905.6	114380.4	117210.1	114349.6	113093.1
2.071	109568	141924.1	148879.4	143483.3	137638.6	127589.7	114249	111583.3	115807.7	116012	116211.4	117085.9	100878.4	110818.1	135070	126930.9	116959.3	111272.6	110936.6	110068.9	111661.3	115222.7	116337.4	118834	98071.71	109990.9	116004	110024.9	103311.3	104975.4	104445.9	105236	111893.1	113114.3	117460.6	114566.6	98295.43	103803.1	108376.9	101711.7	97479.86	103760.6	105369.9	109688.7	119597	121452.9	126767.7	126432.7	88945	98879.29	99697.29	99524.57	100640.4	105128.3	108054.3	108008.4	111567.3	113686.7	116041	116696.9	88604.29	97302.71	99935.29	107922.1	102199.7	103513.9	104449.4	106854.4	113932.4	118124.1	118410	118706.3	84554	98379.43	100820.6	97067.71	101593.7	102597.7	108816.9	109090	124450	125366.1	126268.6	123429.4	94989.86	98817.29	98860.57	101268.9	104739.6	104427.1	109350	109902	114555.1	116969.4	116301.4	113392.4
2.257	111599.4	142244.1	149589.3	143840	139571.3	126215	114455.4	112497.1	115725.9	114872.9	115592.6	118441.4	99575.57	112898	133369.1	127848.7	117352.9	111253	110413	110532.6	111643.3	115129.4	117406.6	117738.3	97330.14	110991.7	115665.9	109321.4	103319.7	103532.3	107149.4	106059.9	109030.9	112785.9	116705.9	117355.1	97536.57	101878.4	108385.7	101419.7	97973.29	102233.3	104230.4	107825.9	120640.1	123360.7	127665.3	127092	89088	101131.4	98837	99275.57	100758.3	103974	107850.1	106789	110758	116266.4	115622.4	117049.4	87524.57	98659.86	99526.14	107027.1	102672	103327.6	107059.9	108502.3	115387	118490.3	117331.4	117487	86557.43	98062.86	100300.6	97334.29	101474.9	104811.1	107828.7	109959.1	123092.4	126628.6	124691.9	123251.9	94609.71	98554.57	98575.29	100311.1	104311.1	105917.9	107967.9	110745.7	115261.1	117322.3	116300	113182.6
2.409	111274.6	144032	148810	142750.1	139764.4	124650.4	115405.7	112312.9	115590.3	114128.4	116494.4	118580.1	100544.9	113186	134265.3	129200.3	117283.7	109778.7	111473.7	109115.1	111538.9	113384.3	117051.9	117286.3	96119.14	112943.3	115960.3	110320.3	104818.6	104868.6	106360.6	104342.7	110778.9	112962.7	117996.9	117986.7	97367.43	103001.1	107052.6	104133.7	97512.43	101793.4	104311.4	109334.6	121023.7	121315.7	126168.1	127010.3	90061.43	99379.71	99282.14	98537.43	100119.6	104480	108120	108143.4	112167.1	115475.4	114266	117341.9	89237.71	98428	98795.43	106756.3	100058.1	103209	107267.9	107589.4	114893.1	117211	119183.4	118851.4	85150	97157.43	101095	97226.86	102525.1	104429.4	108786	110310.6	123985.4	128006.3	125060.1	124694.9	93240.86	98299.43	98449.71	101748.7	105660.7	106337.9	109500.9	112571	115361.7	118640.6	115627.6	112129.6
