<HEADER>
Date	2024-11-22
Time	11:17:43
Instrument	Panoptic
ProtocolName	96-well hiPSCCM fluovolt
AssayPlateBarcode	241122_fluovolt_hiPSC-CM
Indicator	Fluovolt	Excitation	482/35	Emission	536/40	Exposure	1	Gain	250
Binning	0 x 0
NumRows	8
NumCols	12
Operator	jenkinsleeroy	Jenkins 	Leeroy
Project	BCK001
</HEADER>
<INDICATOR_DATA	Fluovolt	>
Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.246	531396.6	621972.7	559252.9	751540.3	795104.7	831684.3	753645.1	336036	323117.6	323290.4	310449.2	250927.3	606550.9	648401.4	593160.4	685742.6	700663.9	706682.7	659778.7	331559.4	339689.8	343186.2	321553.3	310628.3	667380.1	673007.3	637763.1	646089.1	657610	716028.7	661079.9	313895.6	319685.8	318849.6	311481.7	301844.6	551900.6	664509.4	575420.9	662031.6	683404.6	722918.3	678187.6	303496.3	305548.4	314819.3	302113.6	279638.2	613140.6	654947.4	637929.3	663485.9	667310.7	681343.6	650231.3	309050.4	312384.4	319148.3	312617.2	286500.2	650373.7	710550.3	674618.3	723279.4	692445	702963	702970.6	301445.4	310546	321635.3	305014.3	299949.2	790009.4	852931.7	854670.3	891466.3	911029.7	885216.4	827773.3	311466.7	320987.8	321658	303691.7	289168.7	817793.3	849200.7	828735.9	868426.3	913632.6	871157.3	829818.4	310748	316541.8	332915.8	319399.2	248904	
0.266	528477.4	618720.3	560070.1	746749.7	800848	833946.6	769472	333823.8	322746.7	329814.2	308640.3	257290	605663.3	654148.9	597967.7	681193.1	702479.1	711179.9	670074.9	326728.3	339520.7	339931.4	328598.8	310677.4	667776	676561.4	627790.3	651219.9	654156.4	715498.7	662622.3	312450	316909.4	319100.6	315610.8	299469.8	549952.9	661301	575905	668606.3	673576.6	735189.6	670204.4	305407.4	308647.3	313701.6	303448.2	280264.6	617652.1	656320.1	643264.7	665706.7	670933.4	678396.7	648407.9	313608.3	309319	317585.6	313950.4	286303.4	644298.9	711433.4	666425.3	724782.1	697339.9	701240.1	701785	306600.3	311820.6	322377.2	307077.7	295472.2	788366.7	848504.1	859222	894882	907975	883204.6	825067	311265.6	322759.7	326620.2	305852.3	283501.2	822445.9	843423.1	822380.7	861826.7	914518.1	872490.6	829539	308633.3	313774.2	326206.8	322569.4	252676	
0.286	517809.4	621603.6	559454.4	750016.7	801752.7	832212.9	759624.9	333666.6	321633.6	329084.6	306949.4	258891.4	607765.3	651475.9	592662.3	681067.4	695082	703285	662811.9	331179.4	340327.3	341833.6	321982.3	310249.8	656684	674837.6	626512.1	657369	657453.7	714428.1	668411	308332.8	321216.4	316681.2	310596.7	301159.6	554734	653350.3	576892.3	668554.4	677296.3	725619.1	669098.6	299747.8	310116.8	314493.2	301913.6	273919.8	620188.3	662206.1	638049.6	666783.7	667412.1	680324	645280.9	313584.2	313354.3	320575.4	313454.7	286907.3	645776	710952	672329.6	710581.1	683597.1	705157.9	695070.9	302706	313689	317413.6	308771.3	301126.6	786552.9	848663.1	857155.9	888885	901901	882981	828148.3	315068.7	318816.2	322338.7	307621.2	281779	818657.4	843523.6	829128.9	862622.6	917015.7	872621.7	829568.3	308892.8	310079.3	330140.3	315222.6	248854.3	
0.307	526313.7	616140.6	561981.1	750903.9	801597.7	828142.7	756034.9	331954.8	324533.4	332479.8	304720.4	256695	611453.1	649663.7	590938.7	682613.4	704250.7	704739	662135.9	332020.7	337328.4	338245	322689.4	310451	654119.4	677516.6	618996.9	648777.6	656296	715124.9	657427	309101.4	316167.8	320421.4	306530.6	301175.6	557533.3	651398.4	567734	663019.9	677936.7	733144.9	664280.3	305682	306677.8	314671	300957	275435.8	618345.6	670017.3	637558.7	674021.6	666575.7	676536	647074.9	318753.7	311005.7	317960.4	312243.8	286593.8	648103	719136.6	668649.9	718559.9	688477.6	699793.7	686003	308876.3	314407.6	319622.7	306656	299416.3	795032.9	845764.9	848668.1	883009.7	896645.3	883820.3	826720.6	310035.7	321827.3	321364.6	309032.3	284320.6	813639	845445.4	829781.7	862690.9	916110.9	871517.3	836225.6	311651.7	311951.3	332350.4	315399.3	243193.4	
0.327	528545.7	618815.1	555428.3	753125.4	801445.9	835636.9	756277.1	330303.3	323166.2	331996.4	312139.2	254603	596905.4	652666.7	593165	683022.3	701134.1	710141.3	664640.6	332438.3	339646	340169.2	328238.3	305404.8	646708.4	678074.9	615660	648892.1	652593.6	712628	659847.6	310716.2	316618.3	321379.2	308114.7	299684.7	556744.9	650248.6	572837	663248.7	678858.9	728706.3	673088	305161.2	302901.2	313636.6	300192.2	277108	616225.4	677345.3	638410	669530.7	664867.9	678276.3	644101.4	309145.7	306783	314432.2	311450.2	288791	641576.3	712210.7	662861	710752.1	689678.7	697681.7	688525.7	308586.8	306432	319830.3	305616.2	301131.4	790828.9	841795.9	858178.3	881616.1	884730.1	879535.7	822778.7	314221.7	316269.3	323377	304600.7	284437.3	816321.4	843161	811624.7	864851.4	913355.9	868996	828200.6	307228.4	315091.4	325651.7	315867.4	248241.1	
0.347	530710	617088.9	560688.3	744191.3	797476.4	832858.1	753788.7	332930.6	320923.4	328487.7	306396.3	252328.4	609352.9	656170.9	597549.1	675538.9	698281.3	710101.1	660840.6	333504.6	340312.6	342134.2	322160.4	310668.4	645373.4	731380.4	617147.4	646173.7	652320.3	712792.7	662188.4	307282.3	318541.3	325884.8	309893.3	299679.7	551549	654177.1	571128.6	663698.9	674462.3	732414.6	671031.3	306835.7	302559.8	310141.2	303382.3	274608.6	612191.6	683123.4	636297.3	669438.1	663337	682529	639782.9	315156.2	305264.3	319065.3	310324.6	286985.4	644695.7	717019.4	667672.4	710587	682641.7	701751.6	684732.6	307190.4	310748.2	318966.7	309053.6	295368.8	787517.4	849433.6	855350.1	887458.4	882918	888002.4	827442.3	311870.8	319816.4	322356.8	305238.7	283967.8	822503.3	854718.6	827809.7	868199.6	911857.6	876930.9	835128	302658.4	315882.7	329684.7	316269.2	247682.3	
0.367	525919	624307.6	553178.9	743585.7	794442.9	830576.1	752895.1	330046.7	320426	326504.7	311757.2	254959.1	610253.9	662524.6	595113.6	681156.4	698794.9	702802.3	659849.7	332217.7	338436.7	341952.2	320142.7	307327	643558.9	778789.7	614143.4	651354.7	648581.7	706482.6	663240.4	307817.2	317528.6	318863.8	311833.7	302888.6	552389	658342	576281.9	664704.3	669399.1	723653.4	662850.3	304692.7	309202	310306.6	299352.3	276790.4	618296.9	692564.1	631357.6	664460.6	660304.4	679270.1	641088.6	315600.4	308588	314419.2	312977.8	284680.6	648323.1	711458.6	670924.1	715990.9	688409.7	699617.6	681734.3	301948	306298.8	320836.2	306569.7	298947.2	784693.9	862372.4	850319.7	884553.9	878474.9	884132	826727.6	314678.7	317142.8	322987.7	300534.6	283957.7	817236.7	847622.9	823882.6	870019.3	917288.9	872440.3	831432.4	309716.2	312540	331052	318271.2	250830.4	
0.387	531431.6	624197.1	551255.1	746144.3	790882.9	837288.7	749919.1	332201.6	323876.2	330572	307369.3	256748	607075.6	662033.9	597841	676509.3	701414.7	706498.1	660950.3	329570.2	334465	343065.6	322765.8	309874	640054.4	783746.6	612197.3	646055.1	649003.4	714236.3	661546	311225.3	320133.3	321312.4	310460.3	300942.8	556392.3	659134.4	568629.1	667617.9	676307.1	731024.3	671677.9	303582.6	306186	315109.2	305638.3	278431.3	612564.4	690240.7	630567.9	661780.4	658269.4	677918.7	639409.9	315534.6	303985.4	313933.6	309252.8	287464.7	645735	719272.3	669615.6	719175.9	682367.6	691115.3	677428.6	303907.4	308366.4	319588.8	299599.8	297765	786050.7	867204.7	857220	881373.9	878872	888295.4	819535.3	311114.2	319727.8	324104.3	303810.2	287546.2	819617.7	852677.1	824383	857364.1	911491.9	884368.7	829608.3	309643.8	309415.2	328174.8	316942.3	245886.4	
0.407	519937.3	625856	548543.6	747151	789451.7	832271.3	754446.9	333798.6	320988.8	328711	303532.3	254996.9	604597.6	660566.9	594106	676371.3	698182.9	694456.9	662766.4	332994.8	336236.6	346971.3	319210.4	311635.2	636398.3	776499	608708.1	645932.6	652227.3	718444	660768.3	306462.8	319069.8	327453.2	310562.3	297313.7	553375.4	659804.7	567119.1	663202.1	674276.6	728200.6	667330.9	305141	310665.2	316951.3	302067.4	276861.6	620250.4	692305	644304.4	667297.9	657985.9	677425	639208.1	311640.2	305703.4	320386.2	309570.7	285724.4	649216.9	714607.4	662258.3	709289	687267.7	700223.7	676220.4	304648.6	309637.8	321361.3	303612.4	300646.8	782383.3	856078.4	851329.3	884342.7	881293.4	889327.6	820221.7	313234.2	318449.6	325233.8	308064	283190	812916.6	853517.6	820023.7	865529.6	911691.7	875130.9	833228.7	307894.4	312576.8	328140.3	314256.4	248940	
0.427	528793	623488.7	559848.4	750466.3	804641	838165.7	756235.3	327649.4	327266.8	326116.4	306341.6	254301.1	600319.3	659546.9	590503.4	682347.1	697026.7	704807	649665	326029.4	333841	340835.6	320229.4	310142.3	633283.1	773879.6	603861	641056.7	644772.7	715991.7	658268.6	311703	318416.6	318116.8	310447.7	300179.8	553403	655565.6	564280.9	666891.7	665447.6	725901	669379.4	302524.8	304762.2	313605.8	299700.4	278894.6	614025.3	696036.9	631721.7	667458.7	665192.7	683733.1	642390.7	312435	312994.7	318658.4	310765.6	284998.7	645648.6	716250.9	662730.4	715477.6	691108.7	694215	670840.9	302910.3	308361.4	321198.4	306139.8	296205.4	778589.9	855788.9	851409	884436.6	874705.9	877885.7	817668.3	313206.8	318976.7	320657.2	304196	281441.4	818258	846292.1	824525.7	862836.1	907329	868565.4	831012.3	307294.8	315339.3	330504.2	312381.8	246764.1	
